Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,dttl,sttl,ct_flw_http_mthd,res_len,trans_depth,dmeansz,smeansz,dwin,swin,dtcpb,stcpb,Label,attack_cat,res_bdy_len
1588205200,10.0.1.6,54243,10.0.0.4,53,udp,dns,0.001528025,39,55,SF,1,1,0,0,0,0,0,0,0,0,128,128,0,0,0,83,67,0,0,0,0,,,
1588205200,10.0.1.6,56880,10.0.0.4,445,tcp,"gssapi,smb,krb",10.76107693,4020,1681,RSTO,12,11,0,0,0,0,0,1,1,1,128,128,0,0,0,193,108,20861,7059,1505229605,3037930145,,,
1588205280,10.0.1.6,65108,10.0.0.4,53,udp,dns,0.001599073,36,104,SF,1,1,0,1,1,1,0,2,2,2,128,128,0,0,0,132,64,0,0,0,0,,,
1588205323,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,0,0,0,0,3,0,128,0,0,0,0,229,0,0,0,0,,,
1588205391,10.0.1.6,123,10.0.0.4,123,udp,,0.003068924,120,120,SF,1,1,0,0,0,0,0,3,3,4,128,128,0,0,0,148,148,0,0,0,0,,,
1588205723,10.0.1.6,54192,10.0.0.4,53,udp,dns,0.001271963,35,51,SF,1,1,0,2,2,2,0,4,4,5,128,128,0,0,0,79,63,0,0,0,0,,,
1588205880,10.0.1.6,56542,10.0.0.4,53,udp,dns,0.001223087,36,104,SF,1,1,0,3,3,3,0,5,5,6,128,128,0,0,0,132,64,0,0,0,0,,,
1588206049,10.0.1.6,56956,10.0.0.4,389,tcp,,0.369796991,2180,515,RSTR,8,8,0,0,0,0,0,6,6,7,128,128,0,0,0,124,87,20487,22374,1819658905,3214930701,,,
1588206049,10.0.1.6,56955,10.0.0.4,389,tcp,,0.515841961,2991,4544,RSTR,13,11,0,0,0,1,0,7,7,8,128,128,0,0,0,599,132,19370,6832,1418158349,2634436645,,,
1588206049,10.0.1.6,56953,10.0.0.4,135,tcp,dce_rpc,14.7123189,328,280,SF,7,6,0,0,0,0,0,8,8,9,128,128,0,0,0,117,90,24584,10933,3535944624,3946279426,,,
1588206049,10.0.1.6,56954,10.0.0.4,49667,tcp,dce_rpc,34.73738909,2799,1098,SF,10,10,0,1,1,0,0,9,9,10,128,128,0,0,0,165,126,21307,8266,2333692858,3105602112,,,
1588206041,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,1,1,1,1,11,0,128,0,0,0,0,229,0,0,0,0,,,
1588206048,10.0.1.6,56543,10.0.0.4,389,udp,,0.00107193,203,174,SF,1,1,0,0,0,2,0,10,10,12,128,128,0,0,0,202,231,0,0,0,0,,,
1588206049,10.0.1.6,56545,10.0.0.4,389,udp,,0.001207113,202,174,SF,1,1,0,0,0,3,0,11,11,13,128,128,0,0,0,202,230,0,0,0,0,,,
1588206049,10.0.1.6,56957,10.0.0.4,445,tcp,"gssapi,smb,krb",183.004385,15652,12520,RSTO,71,70,0,1,1,1,0,12,12,14,128,128,0,0,0,233,170,17094,10572,993287131,2760062146,,,
1588206415,10.0.1.6,123,10.0.0.4,123,udp,,0.001982927,120,120,SF,1,1,0,0,0,1,1,13,13,15,128,128,0,0,0,148,148,0,0,0,0,,,
1588206480,10.0.1.6,56622,10.0.0.4,53,udp,dns,0.00188899,36,104,SF,1,1,0,4,4,4,0,14,14,16,128,128,0,0,0,132,64,0,0,0,0,,,
1588206763,10.0.1.6,64909,10.0.0.4,53,udp,dns,0.00229311,47,165,SF,1,1,0,5,5,5,0,15,15,17,128,128,0,0,0,193,75,0,0,0,0,,,
1588206809,10.0.1.4,60775,10.0.1.6,5985,tcp,,0.011584044,4719,426,SF,9,6,0,0,0,0,0,0,0,0,128,128,0,0,0,113,565,24584,8958,1001783987,3616078221,,,
1588206808,10.0.1.4,60774,10.0.1.6,5985,tcp,,1.073806047,16130,6585,SF,22,14,0,0,0,1,0,1,1,1,128,128,0,0,0,267,773,19903,4874,3596827121,3455291931,,,
1588206808,10.0.1.4,60772,10.0.1.6,5985,tcp,,1.519392967,11473,7014,SF,20,12,0,0,0,2,0,2,2,2,128,128,0,0,0,87,614,7339,5158,2966939941,838403696,,,
1588206806,10.0.1.4,60771,10.0.1.6,5985,tcp,,3.010339975,24430,13628,SF,27,16,0,0,0,3,0,3,3,3,128,128,0,0,0,135,945,6015,4351,1434755761,4154541111,,,
1588206764,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,2,2,2,2,18,0,128,0,0,0,0,229,0,0,0,0,,,
1588206824,10.0.1.6,56837,10.0.0.4,53,udp,dns,4.115046024,164,261,SF,4,1,0,6,6,6,0,16,16,19,128,128,0,0,0,289,69,0,0,0,0,,,
1588206894,10.0.1.6,57027,10.0.0.4,389,tcp,,0.003503799,158,386,RSTR,5,4,0,0,0,4,0,17,17,20,128,128,0,0,0,139,74,24581,14486,1637361675,1907425235,,,
1588206894,10.0.1.6,57028,10.0.0.4,389,tcp,,0.00999999,2351,6019,RSTR,9,8,0,0,0,5,0,18,18,21,128,128,0,0,0,793,97,20488,8959,1803580878,4200995572,,,
1588206894,10.0.1.6,57029,10.0.0.4,389,tcp,,0.379868984,7233,16107,RSTR,22,24,0,0,0,6,0,19,19,22,128,128,0,0,0,771,133,17758,4874,154048835,4193014429,,,
1588206892,10.0.1.6,58829,10.0.0.4,53,udp,dns,0.001379967,90,158,SF,1,1,0,7,7,7,0,20,20,23,128,128,0,0,0,186,118,0,0,0,0,,,
1588206892,10.0.1.6,52350,10.0.0.4,53,udp,dns,0.00185585,59,127,SF,1,1,0,8,8,8,0,21,21,24,128,128,0,0,0,155,87,0,0,0,0,,,
1588206892,10.0.1.6,137,10.0.1.255,137,udp,dns,1.517328024,150,0,S0,3,0,0,9,0,0,0,3,3,25,0,128,0,0,0,0,78,0,0,0,0,,,
1588206894,10.0.1.6,64562,10.0.0.4,53,udp,dns,0.001204967,53,110,SF,1,1,0,10,9,9,0,22,22,26,128,128,0,0,0,138,81,0,0,0,0,,,
1588206894,10.0.1.6,57026,10.0.0.4,445,tcp,"gssapi,smb,krb,dce_rpc",10.73675299,20809,16305,RSTO,126,125,0,0,0,2,0,23,23,27,128,128,0,0,0,173,180,16785,11404,2887306721,210708221,,,
1588206894,10.0.1.6,57024,10.0.0.4,135,tcp,dce_rpc,12.41123199,328,280,SF,7,6,0,2,2,1,0,24,24,28,128,128,0,0,0,117,90,24584,10933,2597924840,1262344177,,,
1588206894,10.0.1.6,57025,10.0.0.4,49667,tcp,dce_rpc,12.4067409,462,472,SF,7,6,0,3,3,1,0,25,25,29,128,128,0,0,0,178,109,24584,10932,2241798703,2238927602,,,
1588206926,10.0.1.4,60807,10.0.1.6,445,tcp,"gssapi,smb,krb",10.30827498,527368,1617,RSTO,31,25,0,0,0,0,0,4,4,4,128,128,0,0,0,105,7446,18360,3716,352255398,1437054565,,,
1588206926,10.0.1.4,60803,10.0.1.6,445,tcp,gssapi,10.74068093,4261160,3871,RSTO,276,81,0,0,0,1,0,5,5,5,128,128,0,0,0,87,9416,17001,2246,2824034498,1686132515,,,
1588206926,10.0.1.4,60805,10.0.1.6,445,tcp,"gssapi,smb,krb",10.31012106,2084,947,RSTO,8,5,0,1,1,2,0,6,6,6,128,128,0,0,0,231,302,26223,9565,3991234248,1287314823,,,
1588206926,10.0.1.4,60806,10.0.1.6,445,tcp,"gssapi,smb,krb",10.3099339,527300,1619,RSTO,61,25,0,2,2,3,0,7,7,7,128,128,0,0,0,105,7684,18360,3015,1503700581,29345324,,,
1588206894,10.0.1.6,52351,10.0.0.4,389,udp,,0.001388073,246,174,SF,1,1,0,0,0,7,0,26,26,30,128,128,0,0,0,202,274,0,0,0,0,,,
1588206894,10.0.1.6,64563,10.0.0.4,389,udp,,0.001056194,203,174,SF,1,1,0,0,0,8,0,27,27,31,128,128,0,0,0,202,231,0,0,0,0,,,
