srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.0,65474,149.171.126.15,1723,tcp,FIN,0.9188649999999999,756,354,254,252,2,1,-,5929.053711,2698.981934,10,8,255,255,2545876680,3865857628,76,44,0,0,6042.249734,181.306859,1424231129,1424231130,100.021889,114.99028899999999,0.166375,0.113926,0.052449,0,1,,, ,7,4,1,1,1,1,4,Fuzzers,1
175.45.176.0,35531,149.171.126.15,1723,tcp,FIN,0.801045,756,268,254,252,2,1,-,6801.116211,2237.0778809999997,10,6,255,255,1306049090,1489238658,76,45,0,0,4445.980467,231.014469,1424231131,1424231132,89.005,138.571594,0.180902,0.107455,0.073447,0,1,,, ,7,4,1,3,1,1,4,Fuzzers,1
175.45.176.0,25954,149.171.126.15,1723,tcp,FIN,0.758652,756,268,254,252,2,1,-,7181.158203,2362.084473,10,6,255,255,1182782798,293651177,76,45,0,0,4224.491489,216.383125,1424231133,1424231133,80.972444,130.560398,0.197273,0.10584400000000001,0.091429,0,1,,, ,5,2,1,2,1,1,2,Fuzzers,1
175.45.176.0,19196,149.171.126.15,1723,tcp,FIN,0.6709189999999999,756,268,254,252,2,1,-,8120.205078,2670.963135,10,6,255,255,2921878481,2998254986,76,45,0,0,3766.411939,169.162156,1424231134,1424231134,72.372556,109.97820300000001,0.19902999999999998,0.121025,0.07800499999999999,0,1,,, ,5,2,1,3,1,1,2,Fuzzers,1
175.45.176.0,30883,149.171.126.15,1723,tcp,FIN,0.6538649999999999,756,268,254,252,2,1,-,8331.995117,2740.626953,10,6,255,255,1387193266,3443811281,76,45,0,0,3681.537348,144.997141,1424231136,1424231137,72.651667,105.397398,0.22343000000000002,0.126171,0.097259,0,1,,, ,8,3,1,2,1,1,3,Fuzzers,1
175.45.176.0,36198,149.171.126.15,1723,tcp,FIN,0.600442,756,268,254,252,2,1,-,9073.316406,2984.4682620000003,10,6,255,255,4109686944,2431421111,76,45,0,0,3415.460732,130.281586,1424231138,1424231138,66.710444,89.402602,0.249137,0.153428,0.095709,0,1,,, ,8,3,1,3,1,1,3,Fuzzers,1
175.45.176.1,54029,149.171.126.17,5600,udp,INT,3e-06,2968,0,254,0,0,0,-,3957333248.0,0.0,2,0,0,0,0,0,1484,0,0,0,0.0,0.0,1424231138,1424231138,0.003,0.0,0.0,0.0,0.0,0,2,,, ,2,1,1,1,1,1,1,Fuzzers,1
175.45.176.0,37553,149.171.126.15,1723,tcp,FIN,0.628583,756,268,254,252,2,1,-,8667.113281,2850.856445,10,6,255,255,4271567846,2141433458,76,45,0,0,3288.0038640000002,156.585125,1424231139,1424231139,61.26055600000001,110.072797,0.21259099999999997,0.07821,0.134381,0,1,,, ,6,3,1,1,1,1,3,Fuzzers,1
175.45.176.0,65248,149.171.126.15,1723,tcp,FIN,0.7132430000000001,756,354,254,252,2,1,-,7638.350586,3477.0756840000004,10,8,255,255,96460823,3966031454,76,44,0,0,4096.53552,146.763875,1424231140,1424231141,76.773556,86.593711,0.184928,0.10707799999999999,0.07785,0,1,,, ,6,3,1,2,1,1,3,Fuzzers,1
175.45.176.0,4425,149.171.126.15,1723,tcp,FIN,0.618831,756,268,254,252,2,1,-,8803.696289,2895.782715,10,6,255,255,990689796,1996357882,76,45,0,0,3320.407061,140.974031,1424231141,1424231142,68.651444,100.979203,0.199284,0.113934,0.08535,0,1,,, ,6,3,1,3,1,1,3,Fuzzers,1
175.45.176.0,53436,149.171.126.15,1723,tcp,FIN,0.853334,756,354,254,252,2,1,-,6384.370117,2906.247803,10,8,255,255,4252991636,1773732856,76,44,0,0,5071.23881,169.37465600000002,1424231142,1424231143,85.744889,111.13799999999999,0.143672,0.07536699999999999,0.06830499999999999,0,1,,, ,4,2,1,2,1,1,2,Fuzzers,1
175.45.176.0,27518,149.171.126.15,1723,tcp,FIN,0.588076,756,268,254,252,2,1,-,9264.108398,3047.225098,10,6,255,255,434033937,3842938635,76,45,0,0,3330.0172,166.256078,1424231144,1424231145,65.341778,102.237398,0.156376,0.07631900000000001,0.080057,0,1,,, ,9,3,1,1,1,1,3,Fuzzers,1
175.45.176.0,65534,149.171.126.12,179,tcp,FIN,0.795934,534,354,254,252,2,1,-,4834.571777,3115.836182,10,8,255,255,1833289429,2511544737,53,44,0,0,5895.088482,141.567734,1424231145,1424231146,82.761111,105.10943,0.135884,0.060163,0.07572100000000001,0,1,,, ,9,6,4,5,4,4,6,Fuzzers,1
175.45.176.0,65534,149.171.126.12,179,tcp,FIN,0.795934,534,354,254,252,2,1,-,4834.571777,3115.836182,10,8,255,255,1833289429,2511544737,53,44,0,0,5895.088482,141.567734,1424231145,1424231146,82.761111,105.10943,0.135884,0.060163,0.07572100000000001,0,1,,, ,9,6,4,5,4,4,6,Fuzzers,1
175.45.176.0,65534,149.171.126.12,179,tcp,FIN,0.795934,534,354,254,252,2,1,-,4834.571777,3115.836182,10,8,255,255,1833289429,2511544737,53,44,0,0,5895.088482,141.567734,1424231145,1424231146,82.761111,105.10943,0.135884,0.060163,0.07572100000000001,0,1,,, ,9,6,4,5,4,4,6,Fuzzers,1
175.45.176.0,65534,149.171.126.12,179,tcp,FIN,0.795934,534,354,254,252,2,1,-,4834.571777,3115.836182,10,8,255,255,1833289429,2511544737,53,44,0,0,5895.088482,141.567734,1424231145,1424231146,82.761111,105.10943,0.135884,0.060163,0.07572100000000001,0,1,,, ,9,6,4,5,4,4,6,Fuzzers,1
175.45.176.0,33059,149.171.126.15,1723,tcp,FIN,0.692667,756,354,254,252,2,1,-,7865.250977,3580.364014,10,8,255,255,3580794676,4266958466,76,44,0,0,4920.132187,124.49424199999999,1424231147,1424231148,74.384889,87.43056999999999,0.137185,0.08064400000000001,0.056540999999999994,0,1,,, ,7,4,1,2,1,1,4,Fuzzers,1
