srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
0,175.45.176.1,64314,149.171.126.12,8976,tcp,FIN,1.2479209999999998,99288,698,254,252,38,1,-,628744.9375,4198.983886999999,82,16,255,255,2618526604,2247182872,1211,44,0,0,1583.579847,81.712859,1421927814,1421927815,15.406432,74.438797,0.200622,0.13056800000000002,0.07005399999999999,0,1,0,0,0,2,4,2,2,1,1,1,Exploits,1
1,175.45.176.0,51863,149.171.126.12,179,tcp,FIN,0.947732,910,268,254,252,2,1,-,6913.347168000001,1890.8299559999998,10,6,255,255,724648037,2155659388,91,45,0,0,5586.740486,264.14025,1421927814,1421927815,105.195,157.277797,0.25266500000000003,0.161333,0.09133200000000001,0,1,0,0,0,6,4,2,2,1,1,1, Fuzzers,1
2,175.45.176.1,31175,149.171.126.11,111,udp,INT,1.4000000000000001e-05,168,0,254,0,0,0,-,48000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927815,1421927815,0.013999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,2,1,1,2,1,1,1,Reconnaissance,1
3,175.45.176.0,1485,149.171.126.18,1723,tcp,FIN,0.771762,2228,268,254,252,2,1,-,20793.97461,2321.959229,10,6,255,255,913857128,2847574339,223,45,0,0,4707.158398,211.68981200000002,1421927814,1421927815,79.909222,138.600203,0.155284,0.078751,0.076533,0,1,0,0,0,6,3,1,2,1,1,1, Fuzzers,1
4,175.45.176.0,3184,149.171.126.18,1723,tcp,FIN,1.132082,2292,354,254,252,2,1,-,14578.449219999999,2190.654053,10,8,255,255,2267100413,1031576727,229,44,0,0,6534.854977,300.426844,1421927816,1421927817,125.681444,145.734141,0.27219299999999996,0.11193299999999999,0.16025999999999999,0,1,0,0,0,3,2,1,2,1,1,1, Fuzzers,1
5,175.45.176.0,2197,149.171.126.12,179,tcp,FIN,0.809254,1294,268,254,252,2,1,-,11516.7793,2214.38501,10,6,255,255,587707610,3844620635,129,45,0,0,4246.1393689999995,189.09506299999998,1421927816,1421927817,84.176556,133.624406,0.249112,0.141124,0.10798800000000001,0,1,0,0,0,3,1,1,2,1,1,1, Fuzzers,1
6,175.45.176.0,17740,149.171.126.18,1723,tcp,FIN,0.654064,2356,268,254,252,2,1,-,25942.41602,2739.792969,10,6,255,255,1252309565,2924776663,236,45,0,0,3494.076111,160.89456299999998,1421927817,1421927818,72.50399999999999,116.277398,0.155642,0.072675,0.082967,0,1,0,0,0,3,2,1,1,1,1,1, Fuzzers,1
7,175.45.176.1,58406,149.171.126.11,80,tcp,FIN,1.115159,1200,5142,62,252,3,4,http,7891.250977,33817.59766,12,12,255,255,1471064155,2970622951,100,429,1,32,4941.770004,5592.180321,1421927817,1421927818,101.378089,85.119729,0.24144200000000002,0.156192,0.08525,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
8,175.45.176.2,1515,149.171.126.15,80,tcp,FIN,0.686183,802,3934,62,252,2,3,http,8417.580078,41283.44922,10,10,255,255,486486592,1075139030,80,393,0,0,3864.42547,4400.21898,1421927818,1421927819,76.168778,66.281667,0.180426,0.089644,0.090782,0,1,0,0,0,1,1,1,2,1,1,1,Exploits,1
9,175.45.176.0,29113,149.171.126.12,179,tcp,FIN,0.651775,3678,354,254,252,3,1,-,41388.51563,3804.9941409999997,12,8,255,255,2557490663,1698172584,307,44,0,0,3509.0149450000004,143.905406,1421927820,1421927820,59.198636,81.20714100000001,0.139067,0.083317,0.05575,0,1,0,0,0,4,5,1,1,1,1,1, Fuzzers,1
10,175.45.176.2,15210,149.171.126.11,80,tcp,FIN,0.642515,864,268,254,252,2,1,http,9686.933594,2789.040039,10,6,255,255,1222974892,895333635,86,45,0,0,3670.6894,180.123172,1421927819,1421927820,71.300667,112.798203,0.174679,0.078519,0.09616,0,1,0,0,0,1,1,1,2,1,1,1,Reconnaissance,1
11,175.45.176.0,50459,149.171.126.12,179,tcp,FIN,0.820208,6830,268,254,252,4,1,-,61867.234379999994,2184.811523,14,6,255,255,2923765065,3598645554,488,45,0,0,3786.6560630000004,241.323906,1421927821,1421927821,59.045154000000004,145.791797,0.194139,0.091239,0.1029,0,1,0,0,0,4,5,1,1,1,1,1, Fuzzers,1
12,175.45.176.2,32870,149.171.126.16,111,tcp,FIN,0.991992,564,354,254,252,2,1,-,4096.807129,2500.020264,10,8,255,255,45097038,3201780888,56,44,0,0,6704.3511960000005,172.429703,1421927820,1421927821,107.939778,121.01899999999999,0.24524,0.144858,0.100382,0,1,0,0,0,6,1,1,2,1,1,1,Reconnaissance,1
13,175.45.176.3,19214,149.171.126.13,445,tcp,FIN,0.8211360000000001,1138,710,254,252,3,2,-,10171.27539,6059.897461,12,8,255,255,2399173527,3087598097,95,89,0,0,3805.352913,130.491469,1421927821,1421927822,70.106909,106.35585900000001,0.17336700000000002,0.07663400000000001,0.096733,0,1,0,0,0,4,9,2,1,1,1,1, Fuzzers,1
14,175.45.176.0,4618,149.171.126.17,80,tcp,FIN,0.560773,1306,268,254,252,2,1,http,16776.8418,3195.5888670000004,10,6,255,255,488399530,924960196,131,45,1,0,3096.431149,153.794734,1421927822,1421927823,62.216221999999995,94.112602,0.146868,0.090199,0.056669000000000004,0,1,1,0,0,1,1,1,2,1,1,1,Worms,1
15,175.45.176.3,12637,149.171.126.13,445,tcp,FIN,0.856375,1232,726,254,252,3,2,-,10556.12305,5941.322754,12,8,255,255,2668751527,3293696490,103,91,0,0,3816.864822,147.020969,1421927822,1421927823,75.307183,111.390289,0.159143,0.07663500000000001,0.082508,0,1,0,0,0,4,9,2,1,1,1,1, Fuzzers,1
16,175.45.176.1,37856,149.171.126.14,80,tcp,FIN,4.719717,3090,473757,62,252,2,174,http,5156.241211,800746.3125,64,352,255,255,2724793443,3764494262,48,1346,1,229574,3517.430061,1510.870439,1421927818,1421927823,74.901412,13.0611,0.207006,0.135257,0.07174900000000001,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
17,175.45.176.0,27108,149.171.126.12,179,tcp,FIN,1.250489,550,354,254,252,2,1,-,3166.76123,1983.2241210000002,10,8,255,255,4112405942,1985105056,55,44,0,0,7804.2512560000005,329.843187,1421927822,1421927823,135.466667,162.206422,0.194143,0.115033,0.07911,0,1,0,0,0,4,5,1,2,1,1,1, Fuzzers,1
18,175.45.176.3,15099,149.171.126.13,445,tcp,FIN,0.9056549999999999,1208,724,254,252,3,2,-,9787.391602,5600.366211,12,8,255,255,3027065259,858781563,101,91,0,0,4263.607343,133.81343700000002,1421927823,1421927824,77.773364,105.42671100000001,0.310458,0.16766099999999998,0.142797,0,1,0,0,0,4,9,1,1,1,1,1, Fuzzers,1
19,175.45.176.0,17587,149.171.126.12,179,tcp,FIN,0.8573,574,268,254,252,2,1,-,4824.44873,2090.283447,10,6,255,255,2055150826,229252003,57,45,0,0,4676.075704999999,229.765781,1421927824,1421927824,89.794333,154.030406,0.172549,0.087146,0.08540299999999999,0,1,0,0,0,4,5,1,1,1,1,1, Fuzzers,1
20,175.45.176.1,46509,149.171.126.12,389,tcp,FIN,1.7755299999999998,1662,22840,254,252,4,10,-,6956.795898,98625.20313,14,24,255,255,1438183718,2397551025,119,952,0,0,6750.115956999999,5520.032504,1421927823,1421927825,136.579226,71.187782,0.280535,0.137347,0.143188,0,1,0,0,0,1,5,1,2,1,1,1,Generic,1
21,175.45.176.1,54865,149.171.126.15,80,tcp,FIN,1.02073,1160,2668,62,252,2,2,http,8182.378906,18300.62695,10,8,255,255,2717994057,1037959083,116,334,0,0,6121.791994,201.984297,1421927824,1421927825,113.41444399999999,126.12914099999999,0.294953,0.137154,0.157799,0,1,0,0,0,2,1,1,2,1,1,1,Generic,1
22,175.45.176.3,24626,149.171.126.13,445,tcp,FIN,1.311927,1206,718,254,252,3,2,-,6744.277831999999,3835.579346,12,8,255,255,2264286428,765200712,101,90,0,0,6095.037606,215.455047,1421927824,1421927825,117.27181499999999,154.890859,0.315564,0.22768899999999997,0.087875,0,1,0,0,0,4,9,2,1,1,1,1, Fuzzers,1
23,175.45.176.3,14494,149.171.126.13,445,tcp,FIN,1.0644790000000002,1036,830,254,252,3,2,-,7139.643066,5614.01416,12,10,255,255,1214458749,1220788771,86,83,0,0,6551.427075,169.008047,1421927825,1421927826,96.685362,109.534219,0.16868,0.078661,0.090019,0,1,0,0,0,1,5,1,1,1,1,1, Fuzzers,1
24,175.45.176.0,7573,149.171.126.18,1723,tcp,FIN,33.326023,3688,708,254,252,4,1,-,841.14447,159.394958,20,16,255,255,2469117167,1234172293,184,44,0,0,227492.805,7831.3005,1421927793,1421927826,1754.001368,2210.52,0.22108200000000003,0.141103,0.079979,0,1,0,0,0,6,3,2,2,2,2,2, Fuzzers,1
25,175.45.176.0,7573,149.171.126.18,1723,tcp,FIN,33.326023,3688,708,254,252,4,1,-,841.14447,159.394958,20,16,255,255,2469117167,1234172293,184,44,0,0,227492.805,7831.3005,1421927793,1421927826,1754.001368,2210.52,0.22108200000000003,0.141103,0.079979,0,1,0,0,0,6,3,2,2,2,2,2, Fuzzers,1
26,175.45.176.0,7573,149.171.126.18,1723,tcp,FIN,33.326023,3688,708,254,252,4,1,-,841.14447,159.394958,20,16,255,255,2469117167,1234172293,184,44,0,0,227492.805,7831.3005,1421927793,1421927826,1754.001368,2210.52,0.22108200000000003,0.141103,0.079979,0,1,0,0,0,6,3,2,2,2,2,2, Fuzzers,1
27,175.45.176.0,7573,149.171.126.18,1723,tcp,FIN,33.326023,3688,708,254,252,4,1,-,841.14447,159.394958,20,16,255,255,2469117167,1234172293,184,44,0,0,227492.805,7831.3005,1421927793,1421927826,1754.001368,2210.52,0.22108200000000003,0.141103,0.079979,0,1,0,0,0,6,3,2,2,2,2,2, Fuzzers,1
28,175.45.176.0,31922,149.171.126.12,179,tcp,FIN,0.701869,622,268,254,252,2,1,-,6382.95752,2553.182861,10,6,255,255,3379367207,3557144311,62,45,0,0,4232.339456000001,195.066688,1421927826,1421927827,77.89877800000001,116.70460200000001,0.25806100000000004,0.118343,0.139718,0,1,0,0,0,6,2,1,3,1,1,1, Fuzzers,1
29,175.45.176.0,45332,149.171.126.17,23,tcp,FIN,1.109618,798,518,254,252,4,3,-,5342.379395,3366.924561,14,10,255,255,903315010,3296235904,57,52,0,0,4224.0943990000005,148.0965,1421927826,1421927827,85.274923,115.72133600000001,0.147008,0.068115,0.07889299999999999,0,1,0,0,0,6,1,1,3,1,1,1,Exploits,1
30,175.45.176.0,17317,149.171.126.18,1723,tcp,FIN,0.779432,2484,268,254,252,2,1,-,22950.04492,2299.110107,10,6,255,255,1496522590,1027364673,248,45,0,0,4230.70585,197.592625,1421927827,1421927827,81.499778,132.134203,0.197471,0.11875799999999999,0.078713,0,1,0,0,0,6,3,1,3,1,1,1, Fuzzers,1
31,175.45.176.2,21700,149.171.126.19,80,tcp,FIN,1.806402,1870,3670,62,252,4,4,http,7692.640137,15092.986330000002,14,14,255,255,2913093353,1063962086,134,262,1,173,7197.185326999999,235.86818799999998,1421927826,1421927827,138.954005,132.474531,0.162688,0.083492,0.079196,0,1,1,0,0,1,1,1,3,1,1,1,Exploits,1
32,175.45.176.3,41242,149.171.126.14,80,tcp,FIN,0.730398,1046,268,254,252,2,1,http,10317.66211,2453.456787,10,6,255,255,886814422,473215043,105,45,1,0,3586.9725909999997,179.114937,1421927827,1421927828,70.657667,129.958203,0.194468,0.080601,0.11386700000000001,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
33,175.45.176.0,53998,149.171.126.12,179,tcp,FIN,1.103086,718,354,254,252,2,1,-,4692.290527,2248.238037,10,8,255,255,3689849455,3091951064,72,44,0,0,6373.580264,244.872656,1421927827,1421927828,116.62344399999999,143.067859,0.204178,0.101609,0.10256900000000001,0,1,0,0,0,6,2,1,1,1,1,1, Fuzzers,1
34,175.45.176.3,21487,149.171.126.13,445,tcp,FIN,0.903365,1036,772,254,252,3,2,-,8412.989258,5986.505859000001,12,8,255,255,1679286650,3157937949,86,97,0,0,3944.491569,160.683188,1421927829,1421927830,76.793453,118.23657,0.177431,0.075705,0.101726,0,1,0,0,0,3,7,2,2,1,1,1, Fuzzers,1
35,175.45.176.1,62117,149.171.126.11,111,tcp,FIN,1.5309540000000001,564,354,254,252,2,1,-,2654.553955,1619.905029,10,8,255,255,3091388738,389656477,56,44,0,0,9497.841133,315.45631299999997,1421927829,1421927830,170.00655600000002,203.070719,0.222243,0.109449,0.112794,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
36,175.45.176.3,36181,149.171.126.12,80,tcp,FIN,0.858001,1152,354,254,252,2,1,http,9668.986328,2890.439453,10,8,255,255,1232195171,3781984237,115,44,1,0,5717.543847,165.125375,1421927829,1421927830,91.357111,105.17985900000001,0.22093600000000002,0.12173199999999999,0.099204,0,1,1,0,0,1,1,2,2,1,1,1,Exploits,1
37,175.45.176.0,22613,149.171.126.12,179,tcp,FIN,0.819153,910,268,254,252,2,1,-,7998.505859000001,2187.6254879999997,10,6,255,255,3710165694,2065762290,91,45,0,0,4619.396699,239.08042200000003,1421927829,1421927830,85.467556,153.384594,0.139545,0.052226,0.08731900000000001,0,1,0,0,0,6,4,2,2,1,1,1, Fuzzers,1
38,175.45.176.0,16675,149.171.126.18,1723,tcp,FIN,0.907217,2548,354,254,252,2,1,-,20228.89648,2733.634766,10,8,255,255,3044781014,2607582947,255,44,0,0,5848.286935,156.814656,1421927829,1421927830,100.692111,107.96528899999998,0.21565900000000002,0.15145699999999998,0.064202,0,1,0,0,0,6,2,1,2,1,1,1, Fuzzers,1
39,175.45.176.0,29218,149.171.126.12,179,tcp,FIN,0.847292,1294,268,254,252,2,1,-,10999.75,2114.973389,10,6,255,255,1430205082,2901015864,129,45,0,0,4715.770477,248.918156,1421927830,1421927831,94.143556,151.96240600000002,0.16282,0.085451,0.07736900000000001,0,1,0,0,0,6,4,1,1,1,1,1, Fuzzers,1
40,175.45.176.3,18680,149.171.126.13,445,tcp,FIN,1.3271979999999999,1108,832,254,252,3,2,-,6124.180176,4514.774414,12,10,255,255,3696692629,577968119,92,83,0,0,6797.379875,199.651078,1421927830,1421927831,120.57418200000001,137.49756200000002,0.217467,0.08971900000000001,0.127748,0,1,0,0,0,3,7,2,1,1,1,1, Fuzzers,1
41,175.45.176.0,46461,149.171.126.18,1723,tcp,FIN,0.6925020000000001,2612,268,254,252,2,1,-,27159.48828,2587.718018,10,6,255,255,1113988302,1515901018,261,45,0,0,3582.238225,158.081672,1421927832,1421927832,69.380333,120.256203,0.178862,0.091213,0.087649,0,1,0,0,0,6,2,1,2,1,1,1, Fuzzers,1
42,175.45.176.0,6982,149.171.126.12,179,tcp,FIN,0.617939,2062,268,254,252,2,1,-,24028.26172,2899.962646,10,6,255,255,2446613569,2517663128,206,45,0,0,3370.6744369999997,138.684594,1421927831,1421927832,68.523444,103.85179699999999,0.167993,0.09864400000000001,0.069349,0,1,0,0,0,6,4,1,2,1,1,1, Fuzzers,1
43,175.45.176.0,3276,149.171.126.12,179,tcp,FIN,0.7735270000000001,3678,268,254,252,3,1,-,34874.02344,2316.6611329999996,12,6,255,255,2856820299,2560715427,307,45,0,0,3816.7501060000004,198.804531,1421927833,1421927833,70.204001,133.041594,0.19428,0.10830999999999999,0.08597,0,1,0,0,0,6,4,1,1,1,1,1, Fuzzers,1
44,175.45.176.3,15411,149.171.126.13,445,tcp,FIN,1.555752,1074,832,254,252,3,2,-,5065.074707,3851.513428,12,10,255,255,200768926,1261707329,90,83,0,0,7364.296575,265.491844,1421927832,1421927833,141.345006,159.104328,0.209742,0.12381199999999999,0.08592999999999999,0,1,0,0,0,3,7,2,1,1,1,1, Fuzzers,1
45,175.45.176.2,14363,149.171.126.14,80,tcp,FIN,1.6392360000000001,884,29224,62,252,2,11,http,3957.9414060000004,137137.0625,12,26,255,255,1191084420,2974056690,74,1124,0,0,9699.929799,8358.993,1421927831,1421927833,149.021457,62.58556,0.156866,0.07396799999999999,0.082898,0,1,0,0,0,1,1,1,2,1,1,1,Exploits,1
