srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.1,18247,149.171.126.4,7662,tcp,FIN,0.119596,4550,68342,31,29,7,33,-,300478.2813,4514398.5,78,80,255,255,1818376620,1818657356,58,854,0,0,87.137592,85.643619,1424231129,1424231129,1.549156,1.50719,0.000644,0.000521,0.000123,0,0,0,0, ,6,2,2,5,1,1,2,0,0
59.166.0.3,54771,149.171.126.2,27709,tcp,FIN,0.650574,8928,320,31,29,4,1,ftp-data,101953.0391,3283.254395,14,6,255,255,4075447467,3777413974,638,53,0,0,4045.664812,162.187656,1424231129,1424231129,50.044153,129.990797,0.000616,0.000495,0.000121,0,0,0,0, ,3,5,2,4,1,1,4,0,0
59.166.0.8,13289,149.171.126.9,5190,tcp,FIN,0.00798,2158,2464,31,29,6,6,-,2074185.375,2367919.75,24,24,255,255,1638377249,1638673555,90,103,0,0,23.013883,0.487342,1424231129,1424231129,0.347545,0.322913,0.000668,0.000544,0.000124,0,0,0,0, ,3,5,1,1,1,1,3,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
59.166.0.3,10275,149.171.126.0,25,tcp,FIN,0.486578,37462,3380,31,29,18,8,smtp,604088.1875,54256.46094,52,42,255,255,1518379503,3670369209,720,80,0,0,768.061343,24.935787,1424231128,1424231129,9.533961,11.645,0.016012,0.009132,0.00688,0,0,0,0, ,3,2,3,4,2,1,2,0,0
175.45.176.0,59932,149.171.126.12,179,tcp,FIN,0.628085,534,354,254,252,2,1,-,6126.559082,3948.51001,10,8,255,255,2656904324,2464095352,53,44,0,0,4626.171078,134.850297,1424231129,1424231129,69.693889,79.491289,0.112146,0.071639,0.040507,0,1,0,0, ,6,4,1,1,1,1,4,0,0
59.166.0.1,21522,149.171.126.0,19847,tcp,FIN,0.137141,4550,68342,31,29,7,33,-,262036.875,3936853.25,78,80,255,255,4087957051,4088184097,58,854,0,0,99.37894,97.705561,1424231129,1424231129,1.776584,1.729747,0.000608,0.000487,0.000121,0,0,0,0, ,6,3,3,5,1,1,2,0,0
59.166.0.7,30665,149.171.126.7,57704,tcp,FIN,0.079338,320,1896,31,29,1,2,ftp-data,26922.78711,167284.2813,6,8,255,255,3243766425,1613804297,53,237,0,0,1106.729846,27.250656,1424231129,1424231129,15.8044,11.253,0.000743,0.000563,0.00018,0,0,0,0, ,1,1,1,1,1,1,3,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
59.166.0.1,1597,149.171.126.4,63866,tcp,FIN,0.066273,3062,33060,31,29,7,18,-,362259.1563,3910974.5,50,50,255,255,3963766791,1890480624,61,661,0,0,78.068841,2.050742,1424231129,1424231129,1.346204,1.341714,0.000648,0.000526,0.000122,0,0,0,0, ,6,2,2,5,1,1,2,0,0
59.166.0.1,58849,149.171.126.2,65058,tcp,FIN,0.074735,2958,33060,31,29,7,18,-,310109.0625,3468147.5,48,50,255,255,1938379719,2020983832,62,661,0,0,97.483565,92.858987,1424231129,1424231129,1.583426,1.51498,0.000609,0.000496,0.000113,0,0,0,0, ,6,3,2,5,1,1,1,0,0
59.166.0.6,59392,149.171.126.5,80,tcp,FIN,0.058939,1048,824,31,29,2,2,http,124467.6719,100714.2969,8,10,255,255,3843771648,3850731231,131,82,1,83,484.457095,11.726373,1424231129,1424231129,8.251143,6.494111,0.000612,0.000487,0.000125,0,0,1,0, ,3,1,3,3,2,1,1,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231129,1424231129,0.005,0,0,0,0,0,0,0,0, ,19,19,19,19,19,19,19,0,0
