srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.0,13284,149.171.126.16,80,tcp,FIN,2.39039,1362,268,254,252,6,1,http,4233.619141,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.724938,1421927414,1421927416,183.579303,474.259406,0.066088,0.017959,0.048129,0,1,1,0,0,5,2,2,1,1,1,1,Reconnaissance,1
175.45.176.3,22359,149.171.126.11,111,udp,INT,1.70E-05,168,0,254,0,0,0,-,39529412,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927426,1421927426,0.017,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,27804,149.171.126.16,111,tcp,FIN,0.695382,564,354,254,252,2,1,-,5844.27002,3566.38501,10,8,255,255,1064076525,1964745949,56,44,0,0,5579.765824,140.926172,1421927428,1421927429,76.503111,91.689,0.075913,0.053548,0.022365,0,1,0,0,0,3,2,1,1,1,1,1,Reconnaissance,1
175.45.176.1,47096,149.171.126.16,111,tcp,FIN,0.625212,564,354,254,252,2,1,-,6500.194824,3966.654541,10,8,255,255,4065997112,478325110,56,44,0,0,5430.792169,137.643219,1421927433,1421927434,69.003556,87.915289,0.054839,0.009784,0.045055,0,1,0,0,0,1,2,1,1,1,1,1,Reconnaissance,1
175.45.176.3,9002,149.171.126.19,111,tcp,FIN,0.629429,564,354,254,252,2,1,-,6456.645996,3940.079102,10,8,255,255,3017013647,3952958356,56,44,0,0,5437.992729,137.726844,1421927434,1421927435,69.390667,88.84243,0.05335,0.007514,0.045836,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,36159,149.171.126.14,111,udp,INT,1.20E-05,168,0,254,0,0,0,-,56000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927442,1421927442,0.012,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,29442,149.171.126.19,111,udp,INT,1.70E-05,168,0,254,0,0,0,-,39529412,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927445,1421927445,0.017,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,46282,149.171.126.14,111,tcp,FIN,0.633943,564,354,254,252,2,1,-,6410.670898,3912.023438,10,8,255,255,989626159,2517570187,56,44,0,0,5428.363514,137.309922,1421927446,1421927447,68.938778,89.719859,0.051477,0.005882,0.045595,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,17410,149.171.126.14,111,udp,INT,4.00E-06,168,0,254,0,0,0,-,168000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927449,1421927449,0.004,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,20549,149.171.126.10,111,udp,INT,1.40E-05,168,0,254,0,0,0,-,48000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927449,1421927449,0.014,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,61099,149.171.126.17,111,tcp,FIN,0.632601,564,354,254,252,2,1,-,6424.270508,3920.32251,10,8,255,255,192172250,791026797,56,44,0,0,5458.604114,139.175172,1421927452,1421927453,69.599444,89.264141,0.056697,0.007734,0.048963,0,1,0,0,0,1,1,1,2,1,1,1,Reconnaissance,1
175.45.176.1,59988,149.171.126.15,111,udp,INT,2.00E-05,168,0,254,0,0,0,-,33600000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927458,1421927458,0.02,0,0,0,0,0,2,0,0,0,1,2,1,2,1,1,1,Reconnaissance,1
175.45.176.3,13692,149.171.126.15,111,udp,INT,1.50E-05,168,0,254,0,0,0,-,44800000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927459,1421927459,0.015,0,0,0,0,0,2,0,0,0,1,2,1,1,1,1,1,Reconnaissance,1
175.45.176.0,45372,149.171.126.16,111,tcp,FIN,0.625921,564,354,254,252,2,1,-,6492.832031,3962.161377,10,8,255,255,1226406133,3253533023,56,44,0,0,5421.360504,139.425688,1421927467,1421927468,69.546778,87.469711,0.053786,0.00878,0.045006,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,35000,149.171.126.19,80,tcp,FIN,0.190783,1092,268,254,252,2,1,http,41219.60547,9392.871094,10,6,255,255,2783617730,1043538070,109,45,1,0,1095.271931,65.959016,1421927468,1421927469,20.585889,36.779199,0.053961,0.00688,0.047081,0,1,1,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,35063,149.171.126.17,111,udp,INT,1.00E-05,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927480,1421927480,0.01,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,59106,149.171.126.18,111,tcp,FIN,0.626161,564,354,254,252,2,1,-,6490.34375,3960.642822,10,8,255,255,1793132359,3920545789,56,44,0,0,5429.095591,138.693875,1421927482,1421927483,69.016889,88.591289,0.050902,0.006012,0.04489,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
