srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.3,29537,149.171.126.18,111,udp,INT,5.00E-06,168,0,254,0,0,0,-,134400000,0,2,0,0,0,0,0,84,0,0,0,0,0,1424231145,1424231145,0.005,0,0,0,0,0,2,,, ,1,1,1,1,1,1,10,Reconnaissance,1
175.45.176.2,45422,149.171.126.16,80,tcp,FIN,2.479335,974,268,254,252,2,1,http,2829.791016,722.774414,10,6,255,255,1837798450,1022159280,97,45,1,0,20394.39687,901.62875,1424231150,1424231152,273.302,477.984,0.222848,0.089406,0.133442,0,1,1,, ,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,12125,149.171.126.13,111,tcp,FIN,1.844054,564,354,254,252,2,1,-,2203.840088,1344.863037,10,8,255,255,3270746523,2207345994,56,44,0,0,12475.59362,372.066719,1424231155,1424231157,204.803222,284.289656,0.220973,0.138307,0.082666,0,1,,, ,7,1,1,3,1,1,1,Reconnaissance,1
175.45.176.2,55585,149.171.126.18,111,tcp,FIN,1.354454,564,354,254,252,2,1,-,3000.470947,1830.996094,10,8,255,255,2903810217,3491095799,56,44,0,0,8631.514477,266.781813,1424231176,1424231177,148.535667,181.829719,0.274142,0.081637,0.192505,0,1,,, ,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,51375,149.171.126.16,111,udp,INT,5.00E-06,168,0,254,0,0,0,-,134400000,0,2,0,0,0,0,0,84,0,0,0,0,0,1424231177,1424231177,0.005,0,0,0,0,0,2,,, ,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,46505,149.171.126.19,111,udp,INT,3.00E-06,168,0,254,0,0,0,-,224000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1424231179,1424231179,0.003,0,0,0,0,0,2,,, ,5,1,1,2,1,1,1,Reconnaissance,1
175.45.176.2,48044,149.171.126.17,111,udp,INT,1.30E-05,168,0,254,0,0,0,-,51692308,0,2,0,0,0,0,0,84,0,0,0,0,0,1424231181,1424231181,0.013,0,0,0,0,0,2,,, ,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,57727,149.171.126.19,111,tcp,FIN,1.231701,564,354,254,252,2,1,-,3299.501953,2013.475586,10,8,255,255,1360898551,2187169724,56,44,0,0,7526.011903,262.346719,1424231184,1424231185,132.168111,163.074422,0.207993,0.090172,0.117821,0,1,,, ,4,1,1,2,1,1,1,Reconnaissance,1
175.45.176.2,22670,149.171.126.14,111,tcp,FIN,1.163328,564,354,254,252,2,1,-,3493.425537,2131.814941,10,8,255,255,3326210150,212025906,56,44,0,0,7989.417795,204.702687,1424231189,1424231190,126.504111,145.204281,0.244807,0.146882,0.097925,0,1,,, ,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,4605,149.171.126.17,111,tcp,FIN,1.535259,564,354,254,252,2,1,-,2647.110352,1615.362671,10,8,255,255,2441345411,3111868731,56,44,0,0,10006.29361,296.776375,1424231194,1424231195,170.584333,197.280859,0.238376,0.127922,0.110454,0,1,,, ,3,1,1,1,1,1,1,Reconnaissance,1
