srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.9,1660,149.171.126.5,6881,tcp,FIN,7.785464,25472,1094788,31,29,38,390,-,26116.36328,1123645.875,454,858,255,255,1413073184,3568017415,56,1276,0,0,7887.734724,5739.523364,1421936640,1421936648,17.185726000000003,9.094539,0.0007160000000000001,0.000535,0.000181,0,0,0,0,0,10,10,6,4,2,1,2,0,0
59.166.0.9,30711,149.171.126.8,27730,tcp,FIN,0.011934,2542,23154,31,29,7,14,-,1661806.625,15152003.0,40,42,255,255,1245440777,1245750306,64,551,0,0,17.858742000000003,16.706986999999998,1421953029,1421953029,0.29743600000000003,0.27570700000000004,0.000752,0.00062,0.000132,0,0,0,0,0,2,5,3,2,1,1,1,0,0
59.166.0.6,31886,149.171.126.8,49470,tcp,FIN,0.022864,3598,45458,31,29,7,24,-,1238278.5,15649055.0,60,62,255,255,3874648078,3874924182,60,733,0,0,20.510739,20.484595000000002,1421949118,1421949118,0.382508,0.3716,0.000722,0.00056,0.000162,0,0,0,0,0,7,10,6,3,1,1,1,0,0
59.166.0.1,65218,149.171.126.5,63272,tcp,FIN,0.052296,2542,23122,31,29,7,14,-,379225.9375,3452960.0,40,42,255,255,198921427,215393795,64,551,0,0,80.15616899999999,76.35704399999999,1421947770,1421947770,1.3325639999999999,1.261951,0.0007160000000000001,0.000554,0.000162,0,0,0,0,0,13,12,3,6,1,1,1,0,0
59.166.0.1,64613,149.171.126.6,80,tcp,FIN,1.013954,1684,10168,31,29,3,5,http,12339.80957,75774.64063,14,18,255,255,577817110,2724187408,120,565,1,3924,8769.89496,7683.091907999999,1421930017,1421930018,77.96838199999999,59.611000000000004,0.0007,0.000563,0.00013700000000000002,0,0,1,0,0,2,1,3,2,2,1,1,0,0
59.166.0.5,32225,149.171.126.8,30123,tcp,FIN,0.017227000000000003,2854,31142,31,29,7,17,-,1296569.375,14161027.0,46,48,255,255,358414269,2522557777,62,649,0,0,0.0,21.354242000000003,1421952036,1421952036,0.375711,0.362478,0.000682,0.000549,0.000133,0,0,0,0,0,9,1,2,5,1,1,1,0,0
59.166.0.0,26105,149.171.126.3,111,udp,CON,0.005259000000000001,568,312,31,29,0,0,-,648031.9375,355961.1875,4,4,0,0,0,0,142,78,0,0,1.754099,1.748911,1421949785,1421949785,1.247333,1.243667,0.0,0.0,0.0,0,0,0,0,0,15,10,6,6,1,1,3,0,0
59.166.0.8,6924,149.171.126.8,6881,tcp,FIN,0.43825699999999995,6562,217382,31,29,11,80,-,118688.3438,3946561.0,108,184,255,255,3068466623,922980619,61,1181,0,0,838.286094,640.137423,1421934628,1421934628,4.092645,2.392268,0.0006190000000000001,0.000468,0.000151,0,0,0,0,0,16,13,7,8,6,1,6,0,0
59.166.0.0,34318,149.171.126.2,8247,tcp,FIN,0.007986,2230,13358,31,29,7,11,-,2168795.5,13009767.0,34,36,255,255,1561013513,3710930157,66,371,0,0,13.645976999999998,12.311079,1421948230,1421948230,0.231242,0.209286,0.00079,0.00065,0.00014,0,0,0,0,0,8,11,3,4,1,1,1,0,0
59.166.0.5,13075,149.171.126.1,38647,tcp,FIN,0.048761,2542,22432,31,29,7,14,-,406718.5,3592707.25,40,42,255,255,465710330,2656466279,64,534,0,0,73.606023,72.464634,1421944878,1421944878,1.2422819999999999,1.174512,0.0007599999999999999,0.000602,0.00015800000000000002,0,0,0,0,0,7,11,4,6,4,4,4,0,0
