srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.3,47439,149.171.126.18,53,udp,INT,4.00E-06,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424232254,1424232254,0.004,0,0,0,0,0,2,0,0, ,43,43,18,19,18,18,43,Generic,1
175.45.176.3,47439,149.171.126.15,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424247230,1424247230,0.009,0,0,0,0,0,2,0,0, ,33,33,17,17,17,17,33,Generic,1
175.45.176.3,47439,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231857,1424231857,0.009,0,0,0,0,0,2,0,0, ,47,47,43,43,43,18,47,Generic,1
149.171.126.18,47439,175.45.176.3,53,udp,INT,7.00E-06,264,0,60,0,0,0,dns,150857136,0,2,0,0,0,0,0,132,0,0,0,0,0,1424231864,1424231864,0.007,0,0,0,0,0,0,0,0, ,40,40,25,25,25,25,40,0,0
149.171.126.15,47439,175.45.176.3,53,udp,INT,9.00E-06,264,0,60,0,0,0,dns,117333328,0,2,0,0,0,0,0,132,0,0,0,0,0,1424246483,1424246483,0.009,0,0,0,0,0,0,0,0, ,29,29,22,22,22,22,29,0,0
59.166.0.1,32727,149.171.126.8,53,udp,CON,0.001378,132,164,31,29,0,0,dns,383164,476052.25,2,2,0,0,0,0,66,82,0,0,0,0,1424243747,1424243747,0.008,0.003,0,0,0,0,0,0,0, ,4,5,3,9,1,1,1,0,0
175.45.176.3,47439,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231575,1424231575,0.009,0,0,0,0,0,2,0,0, ,43,43,43,43,43,18,43,Generic,1
59.166.0.1,19116,149.171.126.4,61469,tcp,FIN,0.231102,8928,320,31,29,4,1,ftp-data,287007.4688,9242.671875,14,6,255,255,3214263687,3520212980,638,53,0,0,1572.933926,69.524563,1424239990,1424239991,17.777077,46.102602,0.000605,0.000465,0.00014,0,0,0,0, ,6,6,5,6,1,1,8,0,0
175.45.176.3,47439,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424233109,1424233109,0.009,0,0,0,0,0,2,0,0, ,43,43,18,19,18,18,43,Generic,1
59.166.0.4,24039,149.171.126.0,21855,tcp,FIN,0.476066,5174,86792,31,29,7,39,-,85988.07813,1442640.375,90,92,255,255,1677252565,3886575796,57,943,0,0,0,348.267766,1424235807,1424235807,5.345124,5.225692,0.000651,0.000525,0.000126,0,0,0,0, ,3,5,2,2,1,1,2,0,0
149.171.126.15,47439,175.45.176.3,53,udp,INT,4.00E-06,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424245211,1424245211,0.004,0,0,0,0,0,0,0,0, ,29,29,22,22,22,22,29,0,0
59.166.0.4,19955,149.171.126.1,22,tcp,FIN,0.007024,3728,5474,31,29,7,7,ssh,4113895.25,5974943,32,24,255,255,1694745229,1695033804,117,228,0,0,14.364922,0.348547,1424249486,1424249486,0.226581,0.243826,0.000762,0.000626,0.000136,0,0,0,0, ,2,3,6,2,2,1,1,0,0
175.45.176.3,1043,149.171.126.15,53,udp,INT,6.00E-06,114,0,254,0,0,0,dns,76000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424246302,1424246302,0.006,0,0,0,0,0,2,0,0, ,21,21,21,22,21,14,21,Generic,1
59.166.0.4,14888,149.171.126.1,80,tcp,FIN,1.146065,1580,10168,31,29,3,5,http,10114.60938,67039.82813,12,18,255,255,185119794,2335682494,132,565,0,0,9895.237211,7967.13863,1424233696,1424233697,104.156182,67.384472,0.000646,0.000526,0.00012,0,0,0,0, ,2,1,5,8,2,1,1,0,0
59.166.0.4,26649,149.171.126.8,20141,udp,CON,0.036064,528,304,31,29,0,0,-,87843.83594,50576.75391,4,4,0,0,0,0,132,76,0,0,9.883231,10.816612,1424231224,1424231224,6.997,7.654,0,0,0,0,0,0,0, ,6,3,6,9,1,1,5,0,0
59.166.0.0,19559,149.171.126.3,25,tcp,FIN,0.021229,37226,3380,31,29,18,8,smtp,13758914,1243581.875,52,42,255,255,2801321582,2798146110,716,80,0,0,22.822683,0.879972,1424248826,1424248826,0.409569,0.505488,0.000635,0.000501,0.000134,0,0,0,0, ,1,1,3,9,1,1,2,0,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,9.00E-06,264,0,60,0,0,0,dns,117333328,0,2,0,0,0,0,0,132,0,0,0,0,0,1424246443,1424246443,0.009,0,0,0,0,0,0,0,0, ,45,45,45,45,45,23,45,0,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424237905,1424237905,0.003,0,0,0,0,0,2,0,0, ,33,33,20,20,20,20,33,Generic,1
59.166.0.6,7244,149.171.126.1,61357,tcp,FIN,0.012901,2542,23278,31,29,7,14,-,1537245.25,14091311,40,42,255,255,2524221085,2524537528,64,554,0,0,18.700523,17.924487,1424237422,1424237422,0.330816,0.315359,0.000717,0.000594,0.000123,0,0,0,0, ,6,6,7,9,1,1,6,0,0
175.45.176.0,44817,149.171.126.16,80,tcp,FIN,0.212766,802,10666,62,252,2,5,http,27147.19336,372427.9063,10,14,255,255,413004847,2115904058,80,762,1,4804,1207.085026,1486.478468,1424244302,1424244303,23.640667,15.522922,0.0519,0.006249,0.045651,0,1,1,0, ,1,1,1,1,1,1,1,Exploits,1
59.166.0.3,29487,149.171.126.3,53,udp,CON,0.001043,146,178,31,29,0,0,dns,559923.3125,682646.1875,2,2,0,0,0,0,73,89,0,0,0,0,1424243626,1424243626,0.001,0.009,0,0,0,0,0,0,0, ,1,3,3,1,1,1,8,0,0
59.166.0.4,60654,149.171.126.9,25,tcp,FIN,0.672086,37222,3380,31,29,18,8,smtp,434551.5313,39280.6875,52,42,255,255,2541017761,2573070360,716,80,0,0,1098.886467,35.31991,1424246023,1424246024,13.17151,16.380024,0.000629,0.000498,0.000131,0,0,0,0, ,1,1,2,1,1,1,1,0,0
59.166.0.1,33814,149.171.126.0,53,udp,CON,0.001122,146,178,31,29,0,0,dns,520499.0938,634581.0625,2,2,0,0,0,0,73,89,0,0,0,0,1424241276,1424241276,0.009,0.007,0,0,0,0,0,0,0, ,3,4,5,5,3,2,3,0,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,1.00E-05,114,0,254,0,0,0,dns,45600000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424248134,1424248134,0.01,0,0,0,0,0,2,0,0, ,27,27,18,17,17,17,27,Generic,1
59.166.0.8,50374,149.171.126.2,53,udp,CON,0.001014,132,164,31,29,0,0,dns,520710.0313,646942.75,2,2,0,0,0,0,66,82,0,0,0,0,1424242944,1424242944,0.008,0.006,0,0,0,0,0,0,0, ,5,1,3,8,1,1,5,0,0
59.166.0.1,8766,149.171.126.9,25,tcp,FIN,0.024696,37238,3380,31,29,18,8,smtp,11830904,1068999,52,42,255,255,2487786539,343463742,716,80,0,0,30.719987,0.987739,1424231459,1424231459,0.497041,0.589146,0.000675,0.000536,0.000139,0,0,0,0, ,1,1,1,7,1,1,3,0,0
59.166.0.1,18699,149.171.126.1,1083,tcp,FIN,0.013969,2438,19408,31,29,7,13,-,1359581.875,10837139,38,40,255,255,2661858591,512588608,64,485,0,0,23.893375,22.63116,1424234717,1424234717,0.369,0.343205,0.000693,0.000574,0.000119,0,0,0,0, ,2,6,1,1,1,1,1,0,0
59.166.0.6,14740,149.171.126.0,111,udp,CON,0.004488,568,312,31,29,0,0,-,759358.25,417112.2813,4,4,0,0,0,0,142,78,0,0,1.610789,1.440376,1424236101,1424236101,1.142,1.026,0,0,0,0,0,0,0, ,5,9,3,2,1,1,2,0,0
59.166.0.6,51519,149.171.126.3,5190,tcp,FIN,0.005553,2054,2478,31,29,6,6,-,2825139.5,3421573.75,22,24,255,255,3270371341,3270703716,93,103,0,0,15.246031,12.592323,1424249167,1424249167,0.247524,0.223636,0.000749,0.000623,0.000126,0,0,0,0, ,9,9,3,3,1,1,4,0,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,8.00E-06,114,0,254,0,0,0,dns,57000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424246079,1424246079,0.008,0,0,0,0,0,2,0,0, ,31,31,10,11,10,10,31,Generic,1
59.166.0.4,41633,149.171.126.6,53,udp,CON,0.00103,146,178,31,29,0,0,dns,566990.25,691262.125,2,2,0,0,0,0,73,89,0,0,0,0,1424247425,1424247425,0.009,0.007,0,0,0,0,0,0,0, ,2,3,4,2,1,1,1,0,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424244509,1424244509,0.005,0,0,0,0,0,0,0,0, ,36,36,36,36,36,20,36,0,0
59.166.0.9,36741,149.171.126.8,15156,tcp,FIN,0.25714,5174,91072,31,29,7,39,-,159197.3125,2802613.25,90,92,255,255,408435957,454124204,57,990,0,0,202.123198,189.012757,1424247555,1424247555,2.918568,2.820242,0.001278,0.000494,0.000784,0,0,0,0, ,6,2,2,4,1,1,2,0,0
149.171.126.18,47439,175.45.176.1,53,udp,INT,3.00E-06,264,0,60,0,0,0,dns,352000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424239050,1424239050,0.003,0,0,0,0,0,0,0,0, ,31,31,13,13,13,13,31,0,0
59.166.0.7,1103,149.171.126.6,53642,tcp,FIN,0.009514,3952,2456,31,29,7,7,-,3138953,1950809.25,18,18,255,255,3068526230,3067381038,220,136,0,0,30.581534,0.8457,1424231797,1424231797,0.541412,0.527588,0.000698,0.000542,0.000156,0,0,0,0, ,6,6,5,4,1,1,5,0,0
59.166.0.2,17261,149.171.126.8,6881,tcp,FIN,4.191993,13870,548216,31,29,21,197,-,26360.73047,1043828,242,438,255,255,2985541183,2986990549,57,1252,0,0,5735.285371,4235.235628,1424248107,1424248111,17.612101,9.591588,0.000602,0.000465,0.000137,0,0,0,0, ,8,4,2,3,1,1,4,0,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,8.00E-06,114,0,254,0,0,0,dns,57000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424245003,1424245003,0.008,0,0,0,0,0,2,0,0, ,34,34,12,12,12,12,34,Generic,1
59.166.0.5,23418,149.171.126.7,21813,tcp,FIN,0.004794,3768,2456,31,29,7,7,-,5939090.5,3871506,18,18,255,255,2882786805,740725516,209,136,0,0,13.129862,0.331099,1424248422,1424248422,0.263412,0.252824,0.000621,0.000493,0.000128,0,0,0,0, ,9,5,4,3,1,1,4,0,0
59.166.0.7,48948,149.171.126.4,111,udp,CON,0.088387,568,320,31,29,0,0,-,38557.70703,21722.65234,4,4,0,0,0,0,142,80,0,0,34.416301,34.419367,1424248026,1424248026,24.346,24.347666,0,0,0,0,0,0,0, ,6,5,3,5,1,1,3,0,0
175.45.176.0,9827,149.171.126.13,111,tcp,FIN,0.626861,564,354,254,252,2,1,-,6483.096191,3956.220215,10,8,255,255,2252255760,1279467773,56,44,0,0,5403.800905,138.794672,1424234055,1424234056,69.651222,87.464,0.052922,0.007825,0.045097,0,1,0,0, ,2,1,1,1,1,1,1,Reconnaissance,1
59.166.0.0,2540,149.171.126.1,21,tcp,FIN,0.841346,2934,3738,31,29,11,15,ftp,27365.67188,34886.95313,52,54,255,255,960004893,961026549,56,69,0,0,1435.683231,52.865352,1424236407,1424236408,16.82024,15.864585,0.00076,0.00052,0.00024,0,0,0,1,1,1,1,2,4,1,1,4,0,0
59.166.0.2,14346,149.171.126.0,53,udp,CON,0.001062,146,178,31,29,0,0,dns,549905.8125,670433.125,2,2,0,0,0,0,73,89,0,0,0,0,1424235942,1424235942,0.009,0.002,0,0,0,0,0,0,0, ,3,4,3,4,3,1,1,0,0
