srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.2,63395,149.171.126.7,53,udp,CON,0.0011380000000000001,130,162,31,29,0,0,dns,456941.9688,569420.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421935278,1421935278,0.01,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,4,4,8,9,3,2,3,0,0
59.166.0.9,30562,149.171.126.5,5190,tcp,FIN,0.0057929999999999995,2158,2464,31,29,6,6,-,2857241.5,3261867.75,24,24,255,255,90565242,90863176,90,103,0,0,14.941929,0.31819000000000003,1421931713,1421931713,0.24690900000000002,0.226652,0.0007070000000000001,0.00057,0.00013700000000000002,0,0,0,0,0,1,5,2,1,1,1,1,0,0
59.166.0.4,14715,149.171.126.4,80,tcp,FIN,1.25199,1684,10168,31,29,3,5,http,9993.69043,61367.90234,14,18,255,255,3761943433,1661916434,120,565,1,3924,8896.063499,7792.7414739999995,1421950167,1421950168,96.279538,73.614471,0.000688,0.00054,0.000148,0,0,1,0,0,2,1,2,1,1,1,1,0,0
59.166.0.0,33994,149.171.126.7,111,udp,CON,0.382311,568,312,31,29,0,0,-,8914.208984,4896.537109000001,4,4,0,0,0,0,142,78,0,0,158.836453,125.363906,1421931471,1421931471,112.32133600000002,88.652664,0.0,0.0,0.0,0,0,0,0,0,7,4,4,5,1,1,2,0,0
59.166.0.4,58564,149.171.126.8,26116,tcp,FIN,0.00303,320,1864,31,29,1,2,ftp-data,704950.5,4306270.5,6,8,255,255,4157756287,2016184333,53,233,0,0,30.469506,0.588986,1421941960,1421941960,0.5402,0.36585700000000004,0.000624,0.000468,0.000156,0,0,0,0,0,3,3,6,7,1,1,4,0,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,7.000000000000001e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933654,1421933654,0.006999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,4,4,4,4,4,Generic,1
59.166.0.8,61363,149.171.126.1,17078,tcp,FIN,0.027919,3302,37162,31,29,7,21,-,928686.5625,10458541.0,54,56,255,255,2660062969,514940412,61,664,0,0,31.772595000000003,31.749140999999998,1421939728,1421939728,0.521208,0.496964,0.0007559999999999999,0.0005780000000000001,0.000178,0,0,0,0,0,5,4,4,2,1,1,2,0,0
59.166.0.6,32569,149.171.126.4,80,tcp,FIN,1.380075,1684,10168,31,29,3,5,http,9066.173828,55672.33594,14,18,255,255,1044969763,1046003056,120,565,1,3924,9260.996729,8105.500693000001,1421928848,1421928849,106.131846,81.148471,0.0006940000000000001,0.000546,0.000148,0,0,1,0,0,1,2,3,3,1,1,1,0,0
59.166.0.1,5909,149.171.126.8,25,tcp,FIN,0.32679899999999995,38106,3380,31,29,19,8,smtp,915571.9375,80783.60156,54,42,255,255,939495745,940522319,706,80,0,0,773.4227480000001,26.903679999999998,1421952821,1421952821,6.159434,7.95822,0.00066,0.000505,0.000155,0,0,0,0,0,2,1,1,3,1,1,1,0,0
59.166.0.7,55626,149.171.126.9,21,tcp,FIN,4.607673,2934,3740,31,29,11,15,ftp,4996.882324,6373.71582,52,54,255,255,638607201,797485805,56,69,0,0,5378.266057,153.52525,1421950985,1421950989,90.339161,86.926734,0.000734,0.000551,0.000183,0,0,0,1,1,2,1,3,3,1,1,2,0,0
59.166.0.4,9848,149.171.126.0,80,tcp,FIN,2.938818,17746,1087890,31,29,2,370,-,48163.58203,2957466.5,332,746,255,255,1887805521,4038375202,53,1458,1,524288,496.4959,310.798216,1421955736,1421955739,8.877604,3.943975,0.000692,0.0005549999999999999,0.00013700000000000002,0,0,1,0,0,12,9,1,4,1,1,1,0,0
59.166.0.5,56582,149.171.126.3,143,tcp,FIN,0.033689,7814,16086,31,29,30,32,-,1840363.375,3789723.75,122,126,255,255,4136561339,1992202091,64,128,0,0,17.868973,15.430429,1421937321,1421937321,0.277825,0.26508000000000004,0.000685,0.000549,0.000136,0,0,0,0,0,4,3,3,4,1,1,2,0,0
59.166.0.1,27010,149.171.126.8,80,tcp,FIN,1.006788,1580,10168,31,29,3,5,http,11513.84375,76313.97656,12,18,255,255,724198257,725168302,132,565,1,3924,9538.525003,7682.409761,1421951661,1421951662,91.469365,59.19218000000001,0.000655,0.0005139999999999999,0.00014099999999999998,0,0,1,0,0,1,2,7,3,1,1,1,0,0
