,predict,Nor,Fuz,Analy,Bd,DoS,Explo,Ge,Recon,Shell,Worms
actual,,,,,,,,,,,
Nor,,500,0,0,0,0,0,0,0,0,0
Fuz,,0,453.4,0,0,0,29.5,4.4,12.7,0,0
Analy,,9,162.2,21.4,0,10.4,106.5,190.5,0,0,0
Bd,,9.9,163.7,3.2,0,10.6,113.5,193.8,2.2,3.1,0
DoS,,24.2,106,3.2,0,12.5,234.9,87.3,28.9,3,0
Explo,,0.4,25.7,0.1,0,0.2,442.9,5.6,22.3,2.8,0
Ge,,7.2,49,0.1,0,1.3,200.9,226.9,11.7,2.8,0.1
Recon,,0,59.9,0,0,0,40.4,17.3,382.4,0,0
Shell,,0.1,6.6,0,0,0.1,69.4,1.6,3.6,141.6,0
Worms,,0.2,6.2,0,0,0.4,77.8,10.2,11.6,0.3,0.3
