srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,actual,predict
59.166.0.0,1390.0,149.171.126.6,53,udp,CON,0.0010550000000000002,132.0,164.0,31.0,29.0,0.0,0.0,dns,500473.9375,621800.9375,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927414.0,1421927414.0,0.017,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,7.0,1.0,3.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.0,33661.0,149.171.126.9,1024,udp,CON,0.036133,528.0,304.0,31.0,29.0,0.0,0.0,-,87676.08594,50480.17188,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,9.891010000000001,10.682733,1421927414.0,1421927414.0,7.005,7.564333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.6,1464.0,149.171.126.7,53,udp,CON,0.001119,146.0,178.0,31.0,29.0,0.0,0.0,dns,521894.5313,636282.375,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927414.0,1421927414.0,0.017,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,8.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.5,3593.0,149.171.126.5,53,udp,CON,0.001209,132.0,164.0,31.0,29.0,0.0,0.0,dns,436724.5625,542597.1875,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927414.0,1421927414.0,0.043,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.3,49664.0,149.171.126.0,53,udp,CON,0.001169,146.0,178.0,31.0,29.0,0.0,0.0,dns,499572.25,609067.5625,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927414.0,1421927414.0,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.0,32119.0,149.171.126.9,111,udp,CON,0.07833899999999999,568.0,312.0,31.0,29.0,0.0,0.0,-,43503.23438,23896.14258,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,29.682221000000002,34.37034,1421927414.0,1421927414.0,21.003,24.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.6,2142.0,149.171.126.4,53,udp,CON,0.001134,132.0,164.0,31.0,29.0,0.0,0.0,dns,465608.4688,578483.25,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927414.0,1421927414.0,0.017,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,7.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
10.40.182.3,0.0,10.40.182.3,0,arp,INT,0.0,46.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0,0
59.166.0.5,40726.0,149.171.126.6,53,udp,CON,0.001126,146.0,178.0,31.0,29.0,0.0,0.0,dns,518650.0938,632326.8125,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.0,3.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.7,12660.0,149.171.126.4,53,udp,CON,0.001167,132.0,164.0,31.0,29.0,0.0,0.0,dns,452442.1563,562125.0625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
