"@stream","@system","@proc","ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","orig_l2_addr","resp_l2_addr"
"conn","bobs.bigwheel.local","zeek","1588205199.82437","Cvf4XX17hSAgXDdGEd","10.0.1.6","54243","10.0.0.4","53","udp","dns","0.001528024673461914","39","55","SF","0","Dd","1","67","1","83","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588205199.827696","CJ21Le4zsTUcyKKi98","10.0.1.6","56880","10.0.0.4","445","tcp","gssapi,smb,krb","10.761076927185059","4020","1681","RSTO","0","ShADdaR","12","1307","11","2133","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588205279.953876","CnOP7t1eGGHf6LFfuk","10.0.1.6","65108","10.0.0.4","53","udp","dns","0.0015990734100341797","36","104","SF","0","Dd","1","64","1","132","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588205323.385543","CvxbPE3MuO7boUdSc8","10.0.1.6","138","10.0.1.255","138","udp","","","","","S0","0","D","1","229","0","0","00:0d:3a:13:e3:69","ff:ff:ff:ff:ff:ff"
"conn","bobs.bigwheel.local","zeek","1588205390.833714","CuRbE21APSQo2qd6rk","10.0.1.6","123","10.0.0.4","123","udp","","0.0030689239501953125","120","120","SF","0","Dd","1","148","1","148","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588205723.303168","CpV7Zt3oCwUPHHTAX1","10.0.1.6","54192","10.0.0.4","53","udp","dns","0.001271963119506836","35","51","SF","0","Dd","1","63","1","79","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588205880.051921","Cpf1lz3JqFa5Kp46T7","10.0.1.6","56542","10.0.0.4","53","udp","dns","0.0012230873107910156","36","104","SF","0","Dd","1","64","1","132","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206048.982423","CvSeII2IcPgQ11ObM3","10.0.1.6","56956","10.0.0.4","389","tcp","","0.3697969913482666","2180","515","RSTR","0","ShADadtFr","8","698","8","996","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206048.840759","C03eJ14HreyLlDSYXb","10.0.1.6","56955","10.0.0.4","389","tcp","","0.5158419609069824","2991","4544","RSTR","0","ShADdatFr","13","1721","11","6595","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206048.591635","CAGQDqsQlWvA6qoV5","10.0.1.6","56953","10.0.0.4","135","tcp","dce_rpc","14.712318897247314","328","280","SF","0","ShADdtFaf","7","632","6","704","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
