Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,trans_depth,res_bdy_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,sttl,dttl,attack_cat,Label
1590507200,192.168.0.102,57366,239.255.255.250,1900,udp,-,2.001899,522,0,S0,3,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,1,0,-,0
1590507200,192.168.0.108,48318,157.140.2.32,80,tcp,-,5.566936,0,0,SF,4,2,0,0,0,0,0,0,0,0,0,0,0,54,56,16436,14593,2506234706,490240444,64,39,-,0
1590507203,192.168.0.108,38424,117.18.237.29,80,tcp,-,13.215357,1,0,SF,4,3,0,1,0,1,0,0,0,1,0,0,0,52,52,501,135,1459568511,19541246,64,53,-,0
1590507205,192.168.0.108,47356,172.217.160.68,443,tcp,-,58.739391,279,178,OTH,6,8,0,2,0,0,0,0,0,2,0,0,0,98,74,7308,489,711941399,953308861,64,58,-,0
1590507205,192.168.0.108,51696,172.217.160.110,80,tcp,-,43.552287,1,0,SF,7,6,0,3,0,2,0,0,0,3,0,0,0,52,52,501,240,3964979022,3029827515,64,58,-,0
1590507206,192.168.0.108,48612,31.13.87.36,443,tcp,-,59.021715,1861,240,OTH,7,4,0,4,0,1,0,0,0,4,0,0,0,317,112,704,237,3504195741,1076821061,64,88,-,0
1590507206,192.168.0.108,48638,31.13.87.36,443,tcp,-,58.997784,1444,869,OTH,6,4,0,5,1,2,0,1,1,5,0,0,0,292,269,501,133,2058789386,3312988260,64,88,-,0
1590507206,192.168.0.108,48320,157.140.2.32,80,tcp,http,5.99506,2661,79453,SF,26,24,0,0,0,3,0,1,1,6,5,49214,5,153,3362,3040,1445,935109412,851942780,64,39,-,0
1590507206,192.168.0.108,48322,157.140.2.32,80,tcp,http,5.934608,2939,38093,SF,21,15,0,1,1,4,0,2,2,7,5,30716,5,190,2592,3463,2168,2593010032,539878992,64,39,-,0
1590507206,192.168.0.108,56884,104.20.150.16,80,tcp,-,51.207152,320,873,OTH,9,9,0,6,0,5,0,0,0,8,0,0,0,75,137,501,66,2184121039,3485998696,64,54,-,0
1590507208,192.168.0.108,47854,3.213.158.198,443,tcp,-,12.559054,32,31,SF,6,4,0,7,0,3,0,0,0,9,0,0,0,53,59,334,115,1881989076,2832462383,64,227,-,0
1590507208,192.168.0.108,58519,192.168.0.1,53,udp,dns,0.834883,47,135,SF,1,1,0,0,0,0,0,0,0,10,0,0,0,75,163,0,0,0,0,64,59,-,0
1590507208,192.168.0.108,40156,192.168.0.1,53,udp,dns,0.760288,47,163,SF,1,1,0,1,1,1,0,1,1,11,0,0,0,75,191,0,0,0,0,64,59,-,0
1590507208,192.168.0.108,48324,157.140.2.32,80,tcp,http,9.672496,2729,66846,SF,31,29,0,2,2,6,0,3,3,12,5,49089,5,140,2357,2613,1240,4125136995,1535188355,64,39,-,0
1590507208,192.168.0.108,48326,157.140.2.32,80,tcp,http,3.721005,1152,22091,SF,11,8,0,3,3,7,0,4,4,13,2,22499,2,153,2814,6109,3831,2850399640,2717667157,64,39,-,0
1590507209,192.168.0.108,41698,192.168.0.1,53,udp,dns,0.002437,68,112,SF,1,1,0,2,2,2,0,2,2,14,0,0,0,96,140,0,0,0,0,64,59,-,0
1590507209,192.168.0.108,45838,161.156.66.178,80,tcp,http,0.861109,696,736,SF,8,5,0,4,0,8,0,0,0,15,2,21,2,129,188,8343,13248,1989887280,769440630,64,43,-,0
1590507209,192.168.0.108,33090,172.217.160.110,443,tcp,-,43.622171,1728,942,OTH,15,25,0,8,1,4,0,1,1,16,0,0,0,167,89,501,277,2466162546,3210691354,64,58,-,0
1590507209,192.168.0.108,49533,192.168.0.1,53,udp,dns,0.350283,45,75,SF,1,1,0,3,3,3,0,3,3,17,0,0,0,73,103,0,0,0,0,64,59,-,0
1590507209,192.168.0.108,38861,192.168.0.1,53,udp,dns,0.145845,45,127,SF,1,1,0,4,4,4,0,4,4,18,0,0,0,73,155,0,0,0,0,64,59,-,0
1590507209,192.168.0.108,51150,192.168.0.1,53,udp,dns,0.430628,44,60,SF,1,1,0,5,5,5,0,5,5,19,0,0,0,72,88,0,0,0,0,64,59,-,0
1590507209,192.168.0.108,53278,192.168.0.1,53,udp,dns,0.349531,44,106,SF,1,1,0,6,6,6,0,6,6,20,0,0,0,72,134,0,0,0,0,64,59,-,0
