ts,uid,id_orig_h,id_orig_p,id_resp_h,id_resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1590507200,CCBsrr4YcV8eQnMJG5,192.168.0.102,57366,239.255.255.250,1900,udp,-,2.001899,522,0,S0,-,-,0,D,3,606,0,0,
1590507200,CyLO3J1rgL9OtdUWYa,192.168.0.108,48318,157.140.2.32,80,tcp,-,5.566936,0,0,SF,-,-,0,ShAFf,4,216,2,112,
1590507203,CeUcxgDPzDsVhs5x2,192.168.0.108,38424,117.18.237.29,80,tcp,-,13.215357,1,0,SF,-,-,0,AaFf,4,208,3,156,
1590507205,C4qVC025lxR7YVVzH2,192.168.0.108,47356,172.217.160.68,443,tcp,-,58.739391,279,178,OTH,-,-,0,DadA,6,591,8,594,
1590507205,C29S0m4FfZTpiZAfSc,192.168.0.108,51696,172.217.160.110,80,tcp,-,43.552287,1,0,SF,-,-,0,AaFf,7,364,6,312,
1590507206,CNZAqL3bBPPHtjH5Fh,192.168.0.108,48612,31.13.87.36,443,tcp,-,59.021715,1861,240,OTH,-,-,0,DadA,7,2225,4,448,
1590507206,C6d0vf3O2zrHHp5ayd,192.168.0.108,48638,31.13.87.36,443,tcp,-,58.997784,1444,869,OTH,-,-,0,DadA,6,1756,4,1077,
1590507206,CeEoUz3DGQEUwolJbg,192.168.0.108,48320,157.140.2.32,80,tcp,http,5.99506,2661,79453,SF,-,-,0,ShADadFRfR,26,3997,24,80709,
1590507206,CA4EnM2WtPBUzDld39,192.168.0.108,48322,157.140.2.32,80,tcp,http,5.934608,2939,38093,SF,-,-,0,ShADadFRfR,21,4003,15,38881,
1590507206,C2nHFJ1nehnDB6hmX9,192.168.0.108,56884,104.20.150.16,80,tcp,-,51.207152,320,873,OTH,-,-,0,AaDd,9,679,9,1233,
1590507208,C73zbIfOXJ1jIv1t5,192.168.0.108,47854,3.213.158.198,443,tcp,-,12.559054,32,31,SF,-,-,0,AaDFdRf,6,319,4,239,
1590507208,CORJpf14D5BYIBgRab,192.168.0.108,58519,192.168.0.1,53,udp,dns,0.834883,47,135,SF,-,-,0,Dd,1,75,1,163,
1590507208,CYqL6S2jcSvUwHXVii,192.168.0.108,40156,192.168.0.1,53,udp,dns,0.760288,47,163,SF,-,-,0,Dd,1,75,1,191,
1590507208,C6meBX2KLkN6J7D2s1,192.168.0.108,48324,157.140.2.32,80,tcp,http,9.672496,2729,66846,SF,-,-,0,ShADadfF,31,4349,29,68362,
1590507208,CdBdJ81p49BdzJPQL3,192.168.0.108,48326,157.140.2.32,80,tcp,http,3.721005,1152,22091,SF,-,-,0,ShADadFRfR,11,1684,8,22515,
1590507209,Cw65CyY9sgURujf1j,192.168.0.108,41698,192.168.0.1,53,udp,dns,0.002437,68,112,SF,-,-,0,Dd,1,96,1,140,
1590507209,CSB6J61T8WgRZ4UIUc,192.168.0.108,45838,161.156.66.178,80,tcp,http,0.861109,696,736,SF,-,-,0,ShADadFRfR,8,1036,5,944,
