Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_bdy_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,attack_cat,Label
1591890635,10.0.2.15,51400,10.0.2.4,80,tcp,-,0.005132,0,0,RSTO,3,1,0,0,0,0,0,0,0,0,64,64,0,0,0,54,60,9886,28960,1786440946,71060474,Exploits ,1
1591890635,10.0.2.15,52680,10.0.2.4,443,tcp,-,0.005083,0,0,RSTO,3,1,0,1,1,0,0,1,1,1,64,64,0,0,0,54,60,9886,28960,2063836092,1954332849,Exploits ,1
1591890635,10.0.2.15,36212,10.0.2.4,5900,tcp,-,0.000028,0,0,REJ,1,1,0,2,2,0,0,2,2,2,64,64,0,0,0,60,40,29200,0,1128242467,0,Exploits ,1
1591890635,10.0.2.15,55082,10.0.2.4,113,tcp,-,0.000025,0,0,REJ,1,1,0,3,3,0,0,3,3,3,64,64,0,0,0,60,40,29200,0,3079601363,0,Exploits ,1
1591890635,10.0.2.15,53766,10.0.2.4,25,tcp,-,0.000629,0,0,RSTO,3,1,0,4,4,0,0,4,4,4,64,64,0,0,0,54,60,9886,28960,2240204029,1308855026,Exploits ,1
1591890635,10.0.2.15,57252,10.0.2.4,256,tcp,-,0.000011,0,0,REJ,1,1,0,5,5,0,0,5,5,5,64,64,0,0,0,60,40,29200,0,3741311487,0,Exploits ,1
1591890635,10.0.2.15,48848,10.0.2.4,993,tcp,-,0.00001,0,0,REJ,1,1,0,6,6,0,0,6,6,6,64,64,0,0,0,60,40,29200,0,2278817544,0,Exploits ,1
1591890635,10.0.2.15,45132,10.0.2.4,110,tcp,-,0.000024,0,0,REJ,1,1,0,7,7,0,0,7,7,7,64,64,0,0,0,60,40,29200,0,685301724,0,Exploits ,1
1591890635,10.0.2.15,55748,10.0.2.4,995,tcp,-,0.000025,0,0,REJ,1,1,0,8,8,0,0,8,8,8,64,64,0,0,0,60,40,29200,0,1495411064,0,Exploits ,1
1591890635,10.0.2.15,39928,10.0.2.4,143,tcp,-,0.000005,0,0,REJ,1,1,0,9,9,0,0,9,9,9,64,64,0,0,0,60,40,29200,0,1646818560,0,Exploits ,1
