"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","trans_depth","method","host","uri","referrer","version","user_agent","request_body_len","response_body_len","status_code","status_msg","info_code","info_msg","tags","username","password","proxied","orig_fuids","orig_filenames","orig_mime_types","resp_fuids","resp_filenames","resp_mime_types"
"1593625701.042938","CSP4R6VkGikapqnEi","10.0.2.15","42301","10.0.2.5","80","1","GET","10.0.2.5","/","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","10918","200","OK","-","-","(empty)","-","-","-","-","-","-","FaU3es43VomuXhSfG9","-"
"1593625701.052135","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","1","GET","10.0.2.5","/","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","10918","200","OK","-","-","(empty)","-","-","-","-","-","-","F7YoKi1N4w8tXrrFmg","-"
"1593625701.056086","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","2","GET","10.0.2.5","/index.html","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","10918","200","OK","-","-","(empty)","-","-","-","-","-","-","FtURJa4GlIWtAPE6Sl","-"
"1593625701.060911","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","3","GET","10.0.2.5","/general/information.html?kind=item","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","FZNO01EHJvw4RF0v7","-"
"1593625701.065811","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","4","GET","10.0.2.5","/wcd/top.xml","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","Ft2XLA2QpNOP8LJPv2","-"
"1593625701.068979","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","5","GET","10.0.2.5","/wcd/system.xml","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","FzChdE3R2JsVpPNvTf","-"
"1593625701.075961","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","6","GET","10.0.2.5","/wcd/system_device.xml","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","FVFwxy2zbrhakVGSs8","-"
"1593625701.079027","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","7","GET","10.0.2.5","/info_deviceStatus.html","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","F1bE7q3ildChmTSPwc","-"
"1593625701.081797","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","8","GET","10.0.2.5","/DevMgmt/ProductConfigDyn.xml","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","FKEjFqHMaOAtRkVoe","-"
"1593625701.088756","CwhlKtIpyrEZ2SPZ4","10.0.2.15","39557","10.0.2.5","80","9","GET","10.0.2.5","/hp/jetdirect/index.html","-","1.1","Mozilla/5.0 [en] (X11, U; OpenVAS-VT 9.0.3)","0","270","404","Not Found","-","-","(empty)","-","-","-","-","-","-","FbMlSz1osONmVYU7D3","-"
