Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1593625662.770125,10.0.2.15,8,10.0.2.5,0,icmp,-,36.912576,280,280,OTH,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1593625700.024655,10.0.2.15,41016,10.0.2.5,135,tcp,-,0.000055,0,0,REJ,1,1,0,1,1,0,0,1,1,1,64,64,0,0,0,60,40,29200.0,0,1784362579,0
1593625700.024748,10.0.2.15,33060,10.0.2.5,3389,tcp,-,0.000005,0,0,REJ,1,1,0,2,2,0,0,2,2,2,64,64,0,0,0,60,40,29200.0,0,2007646060,0
1593625700.024776,10.0.2.15,56460,10.0.2.5,1025,tcp,-,0.000004,0,0,REJ,1,1,0,3,3,0,0,3,3,3,64,64,0,0,0,60,40,29200.0,0,713507482,0
1593625700.024803,10.0.2.15,40550,10.0.2.5,113,tcp,-,0.000004,0,0,REJ,1,1,0,4,4,0,0,4,4,4,64,64,0,0,0,60,40,29200.0,0,1670682685,0
1593625700.0248132,10.0.2.15,35702,10.0.2.5,1720,tcp,-,0.000004,0,0,REJ,1,1,0,5,5,0,0,5,5,5,64,64,0,0,0,60,40,29200.0,0,343302561,0
1593625700.024821,10.0.2.15,39112,10.0.2.5,8080,tcp,-,0.000005,0,0,REJ,1,1,0,6,6,0,0,6,6,6,64,64,0,0,0,60,40,29200.0,0,4031979148,0
1593625700.024832,10.0.2.15,39490,10.0.2.5,587,tcp,-,0.000004,0,0,REJ,1,1,0,7,7,0,0,7,7,7,64,64,0,0,0,60,40,29200.0,0,3469920321,0
1593625700.02484,10.0.2.15,50558,10.0.2.5,554,tcp,-,0.000004,0,0,REJ,1,1,0,8,8,0,0,8,8,8,64,64,0,0,0,60,40,29200.0,0,3766312586,0
1593625700.024849,10.0.2.15,55100,10.0.2.5,445,tcp,-,0.000004,0,0,REJ,1,1,0,9,9,0,0,9,9,9,64,64,0,0,0,60,40,29200.0,0,2925669909,0
1593625700.024859,10.0.2.15,37086,10.0.2.5,443,tcp,-,0.000005,0,0,REJ,1,1,0,10,10,0,0,10,10,10,64,64,0,0,0,60,40,29200.0,0,1618563549,0
1593625700.025202,10.0.2.15,43976,10.0.2.5,143,tcp,-,0.000027,0,0,REJ,1,1,0,11,11,0,0,11,11,11,64,64,0,0,0,60,40,29200.0,0,2182909797,0
1593625700.025257,10.0.2.15,36460,10.0.2.5,21,tcp,-,0.000024,0,0,REJ,1,1,0,12,12,0,0,12,12,12,64,64,0,0,0,60,40,29200.0,0,811177256,0
1593625700.025322,10.0.2.15,36056,10.0.2.5,53,tcp,-,0.000005,0,0,REJ,1,1,0,13,13,0,0,13,13,13,64,64,0,0,0,60,40,29200.0,0,1860333897,0
1593625700.025334,10.0.2.15,37016,10.0.2.5,110,tcp,-,0.000004,0,0,REJ,1,1,0,14,14,0,0,14,14,14,64,64,0,0,0,60,40,29200.0,0,1537358213,0
1593625700.025356,10.0.2.15,42920,10.0.2.5,8888,tcp,-,0.000003,0,0,REJ,1,1,0,15,15,0,0,15,15,15,64,64,0,0,0,60,40,29200.0,0,1655270904,0
1593625700.025892,10.0.2.15,56132,10.0.2.5,139,tcp,-,0.000012,0,0,REJ,1,1,0,16,16,0,0,16,16,16,64,64,0,0,0,60,40,29200.0,0,4083800259,0
1593625700.025913,10.0.2.15,38630,10.0.2.5,25,tcp,-,0.000018,0,0,REJ,1,1,0,17,17,0,0,17,17,17,64,64,0,0,0,60,40,29200.0,0,1519816019,0
1593625700.025936,10.0.2.15,46552,10.0.2.5,1723,tcp,-,0.000004,0,0,REJ,1,1,0,18,18,0,0,18,18,18,64,64,0,0,0,60,40,29200.0,0,3029082289,0
1593625700.025969,10.0.2.15,56384,10.0.2.5,80,tcp,-,0.000820,0,0,RSTO,3,1,0,19,19,0,0,19,19,19,64,64,0,0,0,54,60,9886.0,65160,480439892,3101340717
1593625700.025987,10.0.2.15,35578,10.0.2.5,22,tcp,-,0.000977,0,0,RSTO,3,1,0,20,20,0,0,20,20,20,64,64,0,0,0,54,60,9886.0,65160,1937825628,2935736575
1593625700.026091,10.0.2.15,33848,10.0.2.5,993,tcp,-,0.000010,0,0,REJ,1,1,0,21,21,0,0,21,21,21,64,64,0,0,0,60,40,29200.0,0,3373537693,0
1593625700.026124,10.0.2.15,35386,10.0.2.5,199,tcp,-,0.000005,0,0,REJ,1,1,0,22,22,0,0,22,22,22,64,64,0,0,0,60,40,29200.0,0,318557353,0
1593625700.0261528,10.0.2.15,43252,10.0.2.5,5900,tcp,-,0.000017,0,0,REJ,1,1,0,23,23,0,0,23,23,23,64,64,0,0,0,60,40,29200.0,0,1785848399,0
