Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_bdy_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,Label,attack_cat
1591933028,10.0.2.15,40412,10.0.2.4,80,tcp,-,0.000205,0,0,SF,2,1,0,0,0,0,0,0,0,0,64,64,0,0,0,52,52,229,227,2798939732,560694008,1,Exploits
1591933028,10.0.2.15,40410,10.0.2.4,80,tcp,-,0.000187,0,0,SF,2,1,0,1,1,1,0,1,1,1,64,64,0,0,0,52,52,229,227,2218305225,907425784,1,Exploits
1591933028,10.0.2.15,40408,10.0.2.4,80,tcp,-,0.000223,0,0,SF,2,1,0,2,2,2,0,2,2,2,64,64,0,0,0,52,52,229,227,75458604,1574983912,1,Exploits
1591933031,10.0.2.15,40414,10.0.2.4,80,tcp,http,0.028563,430,3841,SF,5,5,0,0,0,3,0,3,3,3,64,64,1,10908,1,139,821,6047,5980,3793635756,1258295274,1,Exploits
1591933031,10.0.2.15,40416,10.0.2.4,80,tcp,http,1.026602,430,3841,SF,5,5,0,1,1,4,0,4,4,4,64,64,1,10908,1,139,821,6045,5980,3842698162,2906279368,1,Exploits
1591933031,10.0.2.15,40418,10.0.2.4,80,tcp,http,1.114983,433,3841,SF,5,5,0,2,2,5,0,5,5,5,64,64,1,10908,1,140,821,6045,5980,4024147820,1710253505,1,Exploits
1591933031,10.0.2.15,40420,10.0.2.4,80,tcp,http,1.181938,457,3841,SF,5,5,0,3,3,6,0,6,6,6,64,64,1,10908,1,145,821,6045,5980,350717612,3024767022,1,Exploits
1591933032,10.0.2.15,40422,10.0.2.4,80,tcp,http,0.24985,458,3841,SF,5,5,0,4,4,7,0,7,7,7,64,64,1,10908,1,145,821,6045,5980,3059712197,737477657,1,Exploits
1591933032,10.0.2.15,40424,10.0.2.4,80,tcp,http,0.698949,477,3841,SF,6,6,0,5,5,8,0,8,8,8,64,64,1,10908,1,132,693,5087,5022,1948847847,1728302665,1,Exploits
1591933032,10.0.2.15,40426,10.0.2.4,80,tcp,http,0.695534,477,3841,SF,6,6,0,6,6,9,0,9,9,9,64,64,1,10908,1,132,693,5087,5022,840374088,1449034178,1,Exploits
1591933032,10.0.2.15,40428,10.0.2.4,80,tcp,http,0.706015,451,3841,SF,5,5,0,7,7,10,0,10,10,10,64,64,1,10908,1,143,821,6045,5980,2596661065,356321200,1,Exploits
